iter	Logloss
0	0.6657513301
1	0.6405014269
2	0.6172532437
3	0.5966472256
4	0.5740442273
5	0.5565071835
6	0.5399151723
7	0.5240014146
8	0.5078005406
9	0.4935018643
10	0.4821239352
11	0.4708515777
12	0.459964265
13	0.4498530072
14	0.4408139357
15	0.4325334875
16	0.4247729548
17	0.4127732969
18	0.4064007618
19	0.4002972936
20	0.3940346083
21	0.3883516189
22	0.3821967824
23	0.3777121256
24	0.3733465445
25	0.3688754157
26	0.3636194334
27	0.3594151452
28	0.3557406613
29	0.3528879585
30	0.3497567592
31	0.3470205705
32	0.3442845176
33	0.341229784
34	0.3389615157
35	0.3358310102
36	0.3337997945
37	0.3311638759
38	0.3286160296
39	0.3261625445
40	0.3235135809
41	0.3220171905
42	0.3205345696
43	0.3186873888
44	0.3162165453
45	0.3143321054
46	0.3127803565
47	0.3115402645
48	0.3101416851
49	0.3090094961
50	0.3077521908
51	0.3069071337
52	0.3049926611
53	0.3038731596
54	0.3025361649
55	0.3015262844
56	0.3003747293
57	0.2994482722
58	0.2986122862
59	0.2972696187
60	0.2964136147
61	0.2949870108
62	0.294221146
63	0.2931788665
64	0.2924409454
65	0.2916460115
66	0.2911220814
67	0.2897655093
68	0.2887690105
69	0.2882369692
70	0.2871142568
71	0.2859897081
72	0.2854702402
73	0.284978113
74	0.284552678
75	0.2839347016
76	0.2828658663
77	0.2823562719
78	0.2818244411
79	0.2814038731
80	0.2807131857
81	0.2803094939
82	0.2798592285
83	0.2793985575
84	0.2788439202
85	0.2780393193
86	0.2762960055
87	0.2758204827
88	0.2754131717
89	0.2751275055
90	0.2746416161
91	0.2738712026
92	0.2735399943
93	0.2731017147
94	0.2729482862
95	0.2725962736
96	0.2723277328
97	0.2720027651
98	0.2705055888
99	0.2701098059
100	0.2696002855
101	0.2690561315
102	0.2685645052
103	0.2681410001
104	0.267864028
105	0.267692125
106	0.2671409406
107	0.2666836882
108	0.2663349346
109	0.2659860511
110	0.2657013788
111	0.2654248404
112	0.2642567713
113	0.2640010032
114	0.2637480543
115	0.2631422157
116	0.2623999539
117	0.2620091525
118	0.2614064837
119	0.2611634585
120	0.260900497
121	0.2606110316
122	0.2603687833
123	0.259979264
124	0.2595576678
125	0.2592820988
126	0.2589199201
127	0.2585417521
128	0.2583239267
129	0.2577705413
130	0.2574783475
131	0.2571214363
132	0.2569414738
133	0.2566599716
134	0.2556497607
135	0.2553137348
136	0.2547001074
137	0.2545292997
138	0.2542929833
139	0.2541205099
140	0.2538484193
141	0.2534567553
142	0.2531496823
143	0.252695771
144	0.2524132263
145	0.2521203583
146	0.251763111
147	0.2513871487
148	0.2510836245
149	0.2506938806
150	0.2502319638
151	0.2499026302
152	0.2492226983
153	0.2484909447
154	0.2480881996
155	0.2475920213
156	0.2473727676
157	0.2471753843
158	0.2469892263
159	0.2466808245
160	0.2459926664
161	0.2454654541
162	0.2447618285
163	0.2444339389
164	0.2440978061
165	0.2435538123
166	0.2432955462
167	0.2429619092
168	0.2426554724
169	0.2424500079
170	0.2421826026
171	0.2419831337
172	0.2418267348
173	0.2416242258
174	0.2414864102
175	0.2411912325
176	0.2409341175
177	0.2406323547
178	0.2403695532
179	0.2400479909
180	0.2397554681
181	0.2392936454
182	0.2388467081
183	0.2385937156
184	0.2381261946
185	0.2378885838
186	0.2377071915
187	0.2369706048
188	0.2367506495
189	0.2361595579
190	0.2360165738
191	0.2358636778
192	0.2350492404
193	0.2348539281
194	0.2345700162
195	0.2343047893
196	0.2339814722
197	0.2337908751
198	0.2335033406
199	0.2332820622
200	0.2330901762
201	0.232924729
202	0.2325449588
203	0.2323348204
204	0.2316660096
205	0.2314870787
206	0.2312670316
207	0.230548718
208	0.230243085
209	0.2301328233
210	0.229789313
211	0.2296261269
212	0.2294104431
213	0.2290775175
214	0.2287654418
215	0.2285605165
216	0.228155829
217	0.227997626
