iter	Passed	Remaining
441	1316	1662
442	1319	1659
443	1322	1655
444	1324	1652
445	1327	1649
446	1330	1646
447	1333	1643
448	1336	1639
449	1339	1636
450	1341	1633
451	1344	1630
452	1347	1627
453	1350	1624
454	1353	1621
455	1356	1617
456	1358	1614
457	1361	1611
458	1364	1608
459	1367	1605
460	1370	1601
461	1372	1598
462	1375	1595
463	1378	1592
464	1380	1588
465	1383	1585
466	1386	1582
467	1388	1578
468	1391	1575
469	1394	1572
470	1397	1569
471	1400	1566
472	1402	1562
473	1405	1559
474	1407	1556
475	1410	1552
476	1413	1549
477	1415	1545
478	1418	1542
479	1421	1539
480	1423	1536
481	1426	1532
482	1428	1529
483	1431	1526
484	1434	1523
485	1437	1519
486	1439	1516
487	1442	1513
488	1445	1510
489	1448	1507
490	1451	1504
491	1453	1500
492	1456	1497
493	1458	1494
494	1461	1491
495	1464	1488
496	1467	1484
497	1469	1481
498	1472	1478
499	1474	1474
500	1477	1471
501	1480	1468
502	1482	1465
503	1485	1461
504	1487	1458
505	1490	1455
506	1493	1451
507	1496	1448
508	1499	1446
509	1501	1442
510	1504	1439
511	1506	1436
512	1509	1432
513	1512	1430
514	1514	1426
515	1517	1423
516	1520	1420
517	1522	1416
518	1525	1413
519	1528	1410
520	1530	1407
521	1533	1404
522	1535	1400
523	1538	1397
524	1540	1394
525	1543	1391
526	1546	1387
527	1549	1384
528	1551	1381
529	1554	1378
530	1557	1375
531	1560	1372
532	1563	1369
533	1566	1366
534	1568	1363
535	1571	1360
536	1574	1357
537	1577	1354
538	1580	1351
539	1582	1348
540	1585	1345
541	1588	1341
542	1590	1338
543	1594	1336
544	1596	1333
545	1599	1330
546	1602	1327
547	1605	1324
548	1608	1321
549	1611	1318
550	1613	1314
551	1616	1311
552	1618	1308
553	1621	1305
554	1624	1302
555	1627	1299
556	1629	1296
557	1632	1292
558	1635	1289
559	1637	1286
560	1640	1283
561	1643	1280
562	1646	1277
563	1648	1274
564	1651	1271
565	1654	1268
566	1657	1265
567	1660	1262
568	1663	1259
569	1665	1256
570	1668	1253
571	1671	1250
572	1674	1247
573	1676	1244
574	1679	1241
575	1682	1238
576	1684	1235
577	1687	1231
578	1690	1228
579	1693	1225
580	1695	1222
581	1698	1219
582	1700	1216
583	1703	1213
584	1705	1210
585	1708	1207
586	1711	1204
587	1714	1201
588	1717	1198
589	1720	1195
590	1723	1192
591	1726	1189
592	1729	1186
593	1732	1184
594	1735	1181
595	1738	1178
596	1741	1175
597	1743	1172
598	1746	1169
599	1748	1165
600	1751	1162
601	1754	1159
602	1757	1157
603	1760	1154
604	1763	1151
605	1765	1148
606	1768	1145
607	1771	1142
608	1774	1139
609	1777	1136
610	1779	1132
611	1782	1129
612	1784	1126
613	1787	1123
614	1790	1120
615	1792	1117
616	1795	1114
617	1797	1111
618	1800	1108
619	1803	1105
620	1805	1101
621	1808	1098
622	1810	1095
623	1813	1092
624	1815	1089
625	1818	1086
626	1821	1083
627	1824	1080
628	1827	1077
629	1829	1074
630	1832	1071
631	1835	1068
632	1837	1065
633	1840	1062
634	1843	1059
635	1846	1056
636	1848	1053
637	1851	1050
638	1854	1047
639	1857	1044
640	1859	1041
641	1862	1038
642	1865	1035
643	1868	1033
644	1873	1031
645	1876	1028
646	1880	1026
647	1884	1023
648	1887	1020
649	1890	1017
650	1892	1014
651	1895	1011
652	1897	1008
653	1900	1005
654	1902	1002
655	1906	999
656	1908	996
657	1911	993
658	1913	990
659	1916	987
660	1919	984
661	1922	981
662	1925	978
663	1927	975
664	1930	972
665	1932	969
666	1935	966
667	1938	963
668	1941	960
669	1943	957
670	1946	954
671	1949	951
672	1951	948
673	1954	945
674	1957	942
675	1960	939
676	1963	936
677	1966	933
678	1969	931
679	1972	928
680	1975	925
681	1978	922
682	1981	919
683	1984	916
684	1987	913
685	1990	911
686	1993	908
687	1996	905
688	1999	902
689	2002	899
690	2005	896
691	2008	893
692	2010	890
693	2013	887
